"","id","player_api_id","player_name","player_fifa_api_id","birthday","height","weight","Jersey Number","Club","Position","Nationality","Age","Appearances","Wins","Losses","Goals","Headed goals","Goals with right foot","Goals with left foot","Hit woodwork","Tackles","Blocked shots","Interceptions","Clearances","Headed Clearance","Assists","Passes","Passes per match","Big chances created","Crosses","Yellow cards","Red cards","Fouls","Offsides"
"12",538,466482,"Allan Saint-Maximin",216388,"1997-03-12 00:00:00",172.72,148,10,"Newcastle-United","Forward","France",23,28,11,9,3,1,2,0,2,15,14,9,5,1,4,458,16.36,8,46,0,0,19,3
"13",539,188652,"Allan",199914,"1991-01-08 00:00:00",175.26,163,6,"Everton","Midfielder","Brazil",29,2,2,0,0,0,0,0,0,9,0,3,3,1,0,140,70,0,2,0,0,4,0
"14",540,676625,"Allan",232208,"1997-03-03 00:00:00",180.34,154,6,"Everton","Midfielder","Brazil",29,2,2,0,0,0,0,0,0,9,0,3,3,1,0,140,70,0,2,0,0,4,0
"16",719,449232,"Andreas Christensen",213661,"1996-04-10 00:00:00",187.96,163,4,"Chelsea","Defender","Denmark",24,59,29,18,0,0,0,0,2,76,3,74,193,107,0,3213,54.46,2,0,6,1,35,1
"17",763,357880,"Andrew Robertson",216267,"1994-03-11 00:00:00",177.8,139,26,"Liverpool","Defender","Scotland",26,153,86,36,4,2,0,2,3,270,19,191,282,114,33,8312,54.33,40,655,20,0,80,11
"18",778,166422,"Andros Townsend",194932,"1991-07-16 00:00:00",180.34,179,10,"Crystal-Palace","Midfielder","England",29,211,78,91,22,0,5,17,6,353,112,177,82,21,22,4717,22.36,40,923,14,0,78,22
"19",781,47382,"Andy Carroll",182836,"1989-01-06 00:00:00",190.5,174,7,"Newcastle-United","Forward","England",31,232,81,92,53,24,6,23,12,103,107,74,323,195,22,4726,20.37,28,114,33,2,321,77
"20",843,413557,"Anthony Martial",211300,"1995-12-05 00:00:00",180.34,168,9,"Manchester-United","Forward","France",24,146,73,37,51,4,36,11,5,77,72,29,56,30,23,3712,25.42,35,200,8,0,125,49
"21",994,418137,"Arthur Masuaku",212491,"1993-11-07 00:00:00",177.8,154,26,"West-Ham-United","Defender","The Democratic Republic Of Congo",26,81,26,33,0,0,0,0,0,196,5,102,140,69,6,2578,31.83,7,197,12,1,72,2
"22",1020,107280,"Ashley Barnes",186905,"1989-10-30 00:00:00",185.42,168,10,"Burnley","Forward","England",30,155,45,71,38,5,29,4,6,103,53,33,111,72,6,2475,15.97,11,62,32,2,269,92
"23",1064,411617,"Aymeric Laporte",212218,"1994-05-27 00:00:00",187.96,187,14,"Manchester-City","Defender","France",26,59,50,6,4,4,0,0,0,63,7,70,147,88,3,4957,84.02,1,8,5,0,40,2
"24",1108,142282,"Barry Douglas",200443,"1989-09-04 00:00:00",175.26,141,3,"Leeds-United","Defender","Scotland",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1164,276121,"Ben Davies",205923,"1993-04-24 00:00:00",180.34,157,33,"Tottenham-Hotspur","Defender","Wales",27,201,96,59,6,0,1,5,2,390,32,263,625,310,15,8593,42.75,20,587,26,0,162,4
"26",1171,240538,"Ben Mee",189682,"1989-09-23 00:00:00",180.34,163,6,"Burnley","Defender","England",31,166,49,77,4,3,1,0,4,240,13,260,1082,652,4,6088,36.67,7,70,36,0,118,6
"27",1214,280965,"Benjamin Mendy",204884,"1994-07-17 00:00:00",185.42,165,22,"Manchester-City","Defender","France",26,37,29,3,0,0,0,0,1,40,11,35,43,27,8,1999,54.03,7,176,7,0,32,1
"28",1248,488139,"Bernardo Silva",218667,"1994-08-10 00:00:00",172.72,143,20,"Manchester-City","Midfielder","Portugal",26,105,81,15,19,2,1,16,3,115,50,59,46,14,18,4015,38.24,21,192,8,0,63,4
"29",1250,150764,"Bernardo",186521,"1989-07-11 00:00:00",193.04,187,30,"Brighton-and-Hove-Albion","Defender","Brazil",25,36,9,16,0,0,0,0,0,89,5,40,86,49,1,1115,30.97,3,48,5,0,20,6
"31",1365,31306,"Branislav Ivanovic",178372,"1984-02-22 00:00:00",185.42,201,20,"West-Bromwich-Albion","Defender","Serbia",36,261,152,50,22,7,13,2,8,528,40,393,1137,533,20,9871,37.82,20,520,55,2,293,18
"32",1420,422685,"Bruno Fernandes",212198,"1994-09-08 00:00:00",172.72,143,18,"Manchester-United","Midfielder","Portugal",26,15,9,1,8,0,8,0,3,24,9,11,14,9,7,871,58.07,3,87,2,0,10,2
"33",1497,184321,"Callum Wilson",196978,"1992-02-27 00:00:00",180.34,146,13,"Newcastle-United","Forward","England",28,128,39,60,42,7,26,7,5,41,47,19,48,31,12,1694,13.23,21,78,13,0,177,94
"34",1499,425255,"Calum Chambers",205989,"1995-01-20 00:00:00",182.88,146,21,"Arsenal","Defender","England",25,139,47,57,6,1,4,1,1,257,22,247,537,301,3,5935,42.7,9,210,28,1,137,2
"35",1672,187266,"Charlie Austin",195671,"1989-07-05 00:00:00",187.96,185,15,"West-Bromwich-Albion","Forward","England",31,106,25,55,34,11,20,3,6,62,78,17,84,52,8,1500,14.15,7,54,8,1,83,68
"36",1676,289137,"Charlie Taylor",204760,"1993-09-18 00:00:00",185.42,159,3,"Burnley","Defender","England",27,74,23,33,0,0,0,0,0,111,1,86,186,105,2,2249,30.39,3,238,8,0,39,3
"37",1702,113772,"Chris Basham",184274,"1988-07-20 00:00:00",180.34,176,6,"Sheffield-United","Defender","England",32,61,20,24,1,0,1,0,0,126,0,93,215,117,3,1656,27.15,2,65,5,0,39,5
"38",1728,165823,"Chris Smalling",189881,"1989-11-22 00:00:00",193.04,198,12,"Manchester-United","Defender","England",30,219,122,56,12,8,2,2,2,283,32,360,1287,670,2,8092,36.95,3,63,18,1,192,14
"39",1738,242887,"Christian Atsu",205601,"1992-01-10 00:00:00",172.72,150,30,"Newcastle-United","Midfielder","Ghana",28,80,25,32,3,0,0,3,0,52,17,26,41,17,6,1096,13.7,12,117,5,0,34,14
"40",1740,148315,"Christian Benteke",184111,"1990-12-03 00:00:00",190.5,183,17,"Crystal-Palace","Forward","Belgium",29,225,73,107,72,26,37,9,14,80,117,26,214,148,20,5666,25.18,31,36,35,3,357,203
"41",1751,43061,"Christian Fuchs",139313,"1986-04-07 00:00:00",185.42,190,28,"Leicester-City","Defender","Austria",34,107,48,32,2,0,1,1,1,255,16,248,365,197,9,4051,37.86,11,325,15,0,79,2
"42",1771,688295,"Christian Pulisic",227796,"1998-09-18 00:00:00",172.72,152,10,"Chelsea","Midfielder","United States",22,25,13,9,9,2,4,3,1,23,15,6,7,4,4,668,26.72,6,35,0,0,14,3
"43",1833,161414,"Ciaran Clark",183129,"1989-09-26 00:00:00",187.96,168,2,"Newcastle-United","Defender","Ireland",30,179,45,85,14,11,0,3,3,306,18,304,1256,580,5,5675,31.7,10,41,47,2,171,2
"44",1908,169721,"Connor Wickham",191089,"1993-03-31 00:00:00",187.96,198,21,"Crystal-Palace","Forward","England",27,120,29,59,19,4,10,5,6,93,56,53,109,63,7,2003,16.69,5,112,11,0,147,26
"45",1914,295069,"Conor Townsend",203751,"1993-03-04 00:00:00",182.88,161,14,"West-Bromwich-Albion","Defender","England",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2094,436036,"Daniel Amartey",212883,"1994-12-01 00:00:00",182.88,165,18,"Leicester-City","Defender","Ghana",25,46,17,19,1,1,0,0,0,68,3,50,76,44,1,1469,31.93,0,6,5,1,41,1
"47",2233,214426,"Danny Ings",195859,"1992-03-16 00:00:00",177.8,161,9,"Southampton","Forward","England",28,113,32,47,45,7,24,13,10,106,65,37,45,26,9,1938,17.15,14,94,11,0,91,43
"49",2287,609733,"Darnell Furlong",223877,"1995-10-31 00:00:00",180.34,168,2,"West-Bromwich-Albion","Defender","England",24,5,0,5,0,0,0,0,0,3,1,9,12,7,0,117,23.4,0,12,1,0,5,1
"51",2381,52133,"David Luiz",179944,"1987-04-22 00:00:00",187.96,185,23,"Arsenal","Defender","Brazil",33,194,113,38,13,6,6,1,5,240,59,344,832,443,7,10165,52.4,22,67,40,3,212,5
"52",2496,432040,"DeAndre Yedlin",212722,"1993-07-09 00:00:00",172.72,161,22,"Newcastle-United","Defender","United States",27,103,29,48,2,1,1,0,0,169,5,107,269,110,5,2500,24.27,6,219,16,1,102,15
"53",2519,363333,"Dele Alli",211117,"1996-04-11 00:00:00",185.42,168,20,"Tottenham-Hotspur","Midfielder","England",24,157,90,34,50,9,31,10,7,237,82,127,99,57,33,5517,35.14,44,76,24,0,178,31
"54",2522,492586,"Demarai Gray",220633,"1996-06-28 00:00:00",177.8,146,7,"Leicester-City","Midfielder","England",24,132,53,50,10,0,8,1,2,76,45,39,39,9,9,1920,14.55,13,263,7,0,36,12
"55",2536,149150,"Denis Odoi",185349,"1988-05-27 00:00:00",177.8,148,4,"Fulham","Defender","Belgium",32,33,7,21,0,0,0,0,0,49,1,45,147,61,1,1434,43.45,1,16,4,0,39,1
"56",2567,282012,"Dennis Praet",199652,"1994-05-14 00:00:00",180.34,172,26,"Leicester-City","Midfielder","Belgium",26,29,13,11,2,0,2,0,1,37,10,20,12,5,3,604,20.83,4,25,2,0,20,1
"57",2688,570461,"Diogo Jota",224458,"1996-12-01 00:00:00",177.8,154,20,"Liverpool","Forward","Portugal",23,67,27,19,16,0,8,8,4,56,35,22,20,14,6,1585,23.66,13,74,15,0,84,9
"58",2704,426202,"Divock Origi",213135,"1995-04-18 00:00:00",185.42,165,27,"Liverpool","Forward","Belgium",25,91,57,14,19,6,11,2,4,34,22,7,9,3,6,861,9.46,3,68,1,0,47,26
"59",2760,612836,"Donny van de Beek",221363,"1997-04-18 00:00:00",185.42,168,34,"Manchester-United","Midfielder","Netherlands",23,1,0,1,1,0,1,0,0,1,0,0,0,0,0,22,22,0,0,0,0,0,0
"60",2818,363340,"Dwight Gayle",205670,"1990-10-20 00:00:00",177.8,161,12,"Newcastle-United","Forward","England",29,119,28,64,25,2,16,7,4,61,41,26,41,26,6,1201,10.09,6,64,8,1,77,34
"63",2972,163557,"Emerson",205707,"1980-08-16 00:00:00",187.96,176,33,"Chelsea","Defender","Italy",26,30,11,14,0,0,0,0,1,43,6,28,31,17,1,1285,42.83,3,97,3,0,15,2
"64",2973,51409,"Emerson",179741,"1986-02-23 00:00:00",185.42,183,33,"Chelsea","Defender","Italy",26,30,11,14,0,0,0,0,1,43,6,28,31,17,1,1285,42.83,3,97,3,0,15,2
"65",2979,259306,"Emil Krafth",207650,"1994-08-02 00:00:00",180.34,174,17,"Newcastle-United","Defender","Sweden",26,17,5,8,0,0,0,0,0,18,1,8,40,22,1,329,19.35,1,20,0,0,4,0
"66",3021,141576,"Enda Stevens",192546,"1990-07-09 00:00:00",182.88,172,3,"Sheffield-United","Defender","Ireland",30,47,16,17,2,1,0,1,0,98,7,48,96,35,4,1670,35.53,9,135,8,0,46,2
"67",3055,361315,"Eric Dier",202335,"1994-01-15 00:00:00",187.96,183,15,"Tottenham-Hotspur","Midfielder","England",26,176,102,36,10,4,5,1,2,286,32,257,530,316,8,9661,54.89,11,121,33,0,164,6
"68",3078,174850,"Erik Lamela",170368,"1992-03-25 00:00:00",182.88,154,11,"Tottenham-Hotspur","Midfielder","Argentina",28,155,81,36,16,2,1,12,8,247,72,103,32,17,23,4019,25.93,28,374,26,0,213,28
"69",3081,37194,"Erik Pieters",178567,"1988-08-07 00:00:00",182.88,190,23,"Burnley","Defender","Netherlands",32,194,61,79,1,0,0,1,0,538,11,354,620,312,11,6880,35.46,17,455,34,0,300,5
"71",3154,78324,"Fabian Delph",183427,"1989-11-21 00:00:00",175.26,132,8,"Everton","Midfielder","England",30,185,76,73,7,0,1,6,5,395,36,283,213,55,8,8857,47.88,7,195,29,3,140,1
"72",3180,359188,"Fabinho",209499,"1993-10-23 00:00:00",187.96,172,3,"Liverpool","Midfielder","Brazil",26,58,46,4,3,1,2,0,0,126,11,67,43,17,5,3291,56.74,4,19,12,0,63,0
"74",3276,230190,"Felipe Anderson",201995,"1993-04-15 00:00:00",175.26,154,8,"West-Ham-United","Midfielder","Brazil",27,63,20,32,10,0,7,3,3,136,25,63,22,8,8,2567,40.75,14,155,4,0,44,7
"75",3310,171899,"Fernandinho",180281,"1985-11-25 00:00:00",170.18,146,25,"Manchester-City","Midfielder","Brazil",35,225,156,36,18,2,14,2,3,549,50,353,415,267,16,14806,65.8,24,69,46,4,324,4
"76",3311,40196,"Fernandinho",135507,"1985-05-04 00:00:00",175.26,148,25,"Manchester-City","Midfielder","Brazil",35,225,156,36,18,2,14,2,3,549,50,353,415,267,16,14806,65.8,24,69,46,4,324,4
"77",3436,599425,"Florin Andone",225018,"1993-04-11 00:00:00",182.88,172,21,"Brighton-and-Hove-Albion","Forward","Romania",27,26,5,14,4,2,2,0,0,11,6,3,13,6,0,177,6.81,0,5,5,1,30,4
"79",3563,131406,"Fred",179626,"1986-01-15 00:00:00",187.96,183,17,"Manchester-United","Midfielder","Brazil",27,46,22,14,1,0,1,0,3,89,13,54,35,9,1,2437,52.98,4,76,10,0,67,2
"80",3564,30995,"Fred",160774,"1983-10-03 00:00:00",185.42,185,17,"Manchester-United","Midfielder","Brazil",27,46,22,14,1,0,1,0,3,89,13,54,35,9,1,2437,52.98,4,76,10,0,67,2
"81",3660,31921,"Gareth Bale",173731,"1989-07-16 00:00:00",182.88,163,9,"Tottenham-Hotspur","Forward","Wales",31,146,62,41,42,4,5,32,16,220,113,240,295,77,20,4663,31.94,32,1021,15,1,86,30
"82",3674,23783,"Gary Cahill",164468,"1985-12-19 00:00:00",193.04,190,24,"Crystal-Palace","Defender","England",34,374,166,126,27,9,13,4,5,471,63,452,2849,1155,10,12718,34.01,8,23,38,3,266,3
"83",3760,108038,"Georginio Wijnaldum",181291,"1990-11-11 00:00:00",175.26,163,5,"Liverpool","Midfielder","Netherlands",29,181,111,32,25,8,16,1,2,200,55,117,124,68,16,7603,42.01,15,67,7,0,84,15
"84",3970,207236,"Granit Xhaka",199503,"1992-09-27 00:00:00",185.42,181,34,"Arsenal","Midfielder","Switzerland",27,132,70,33,8,0,0,8,2,254,40,133,208,129,13,9739,73.78,12,274,35,2,196,2
"85",4087,157729,"Gylfi Sigurdsson",184484,"1989-09-09 00:00:00",185.42,170,10,"Everton","Midfielder","Iceland",31,284,114,110,61,3,45,13,20,348,203,283,163,44,45,7752,27.3,68,1363,20,0,193,16
"86",4101,360559,"Hakim Ziyech",208670,"1993-03-19 00:00:00",180.34,154,22,"Chelsea","Midfielder","Morocco",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",4102,113005,"Hal Robson-Kanu",184480,"1989-05-21 00:00:00",182.88,183,4,"West-Bromwich-Albion","Forward","Wales",31,76,16,39,12,3,2,7,2,21,17,29,34,20,3,682,8.97,2,101,5,1,76,13
"88",4139,502420,"Harrison Reed",205990,"1995-01-27 00:00:00",180.34,159,21,"Fulham","Midfielder","England",25,19,9,5,0,0,0,0,0,36,1,26,14,3,0,419,22.05,0,4,0,0,8,0
"89",4142,194165,"Harry Kane",202126,"1993-07-28 00:00:00",187.96,143,10,"Tottenham-Hotspur","Forward","England",27,212,120,48,144,22,88,33,22,139,190,59,147,111,24,4408,20.79,38,178,26,0,208,160
"90",4206,94010,"Henri Saivet",183256,"1990-10-26 00:00:00",175.26,161,28,"Newcastle-United","Midfielder","Senegal",29,5,3,2,1,0,1,0,0,18,0,9,10,3,0,106,21.2,0,2,0,0,1,0
"92",4414,291219,"Islam Slimani",217699,"1988-06-18 00:00:00",187.96,185,13,"Leicester-City","Forward","Algeria",32,39,14,18,8,5,3,0,2,14,5,4,6,4,5,580,14.87,2,10,2,0,30,15
"93",4427,696443,"Issa Diop",231633,"1997-01-09 00:00:00",193.04,198,23,"West-Ham-United","Defender","France",23,67,23,29,4,3,1,0,0,97,2,114,326,157,1,2212,33.01,3,1,12,0,49,4
"94",4444,361792,"Ivan Cavaleiro",212267,"1993-10-18 00:00:00",175.26,161,17,"Fulham","Forward","Portugal",26,25,10,11,3,0,3,0,2,6,2,7,5,3,1,357,14.28,2,59,1,0,15,6
"95",4507,46008,"Jack Cork",169706,"1989-06-25 00:00:00",185.42,152,4,"Burnley","Midfielder","England",31,264,96,105,8,3,3,2,2,466,43,400,477,207,9,11059,41.89,11,151,32,0,211,13
"96",4508,312765,"Jack Grealish",206517,"1995-09-10 00:00:00",175.26,150,10,"Aston-Villa","Midfielder","England",25,71,17,42,9,0,6,3,2,45,33,44,17,6,7,2098,29.55,12,202,9,0,47,6
"97",4512,202181,"Jack Robinson",199027,"1993-09-01 00:00:00",180.34,148,19,"Sheffield-United","Defender","England",27,9,2,3,0,0,0,0,0,14,0,10,28,7,0,291,32.33,0,7,1,0,5,1
"98",4513,109058,"Jack Rodwell",183465,"1991-03-11 00:00:00",187.96,157,26,"Sheffield-United","Midfielder","England",29,167,50,64,10,4,3,3,2,212,63,113,227,79,4,3881,23.24,2,67,26,1,135,7
"99",4515,143793,"Jack Wilshere",189461,"1992-01-01 00:00:00",172.72,150,19,"West-Ham-United","Midfielder","England",28,182,87,52,8,1,2,5,10,217,43,153,53,12,18,7494,41.18,32,239,36,2,169,10
"100",4539,496563,"Jairo Riedewald",221269,"1996-09-09 00:00:00",182.88,174,44,"Crystal-Palace","Midfielder","Netherlands",24,29,8,13,0,0,0,0,0,25,2,29,31,14,0,484,16.69,0,8,0,0,6,0
"101",4547,115681,"Jake Livermore",189059,"1989-11-14 00:00:00",180.34,168,8,"West-Bromwich-Albion","Midfielder","England",30,180,52,87,7,0,6,1,7,363,41,227,164,62,9,6813,37.85,11,56,30,1,199,3
"102",4573,279489,"Jamaal Lascelles",203487,"1993-11-11 00:00:00",187.96,183,6,"Newcastle-United","Defender","England",26,109,34,48,6,6,0,0,0,90,3,123,645,364,1,3699,33.94,2,5,16,1,69,3
"103",4591,28901,"James McArthur",171972,"1987-10-07 00:00:00",177.8,141,18,"Crystal-Palace","Midfielder","Scotland",32,282,93,126,23,6,10,7,3,613,68,398,312,108,18,10076,35.73,21,137,45,0,370,13
"104",4592,101192,"James McCarthy",188253,"1990-11-12 00:00:00",180.34,159,22,"Crystal-Palace","Midfielder","Ireland",29,258,87,102,13,0,10,3,4,674,65,421,366,124,12,10840,42.02,8,188,48,1,309,2
"105",4596,38807,"James Milner",138412,"1986-01-04 00:00:00",175.26,154,7,"Liverpool","Midfielder","England",34,539,272,133,55,1,38,8,7,803,174,437,423,126,84,16171,30,46,2247,65,3,438,45
"106",4600,109897,"James Tomkins",173546,"1989-03-29 00:00:00",190.5,163,5,"Crystal-Palace","Defender","England",31,263,84,116,12,7,3,2,6,447,26,443,2029,929,7,8210,31.22,8,51,46,2,167,7
"107",4604,279490,"James Ward-Prowse",205569,"1994-11-01 00:00:00",172.72,146,8,"Southampton","Midfielder","England",25,233,80,89,22,0,18,4,5,262,71,188,249,134,22,6946,29.81,36,1110,28,1,193,5
"108",4623,286119,"Jamie Vardy",208830,"1987-01-11 00:00:00",177.8,161,9,"Leicester-City","Forward","England",33,213,86,77,105,12,66,27,15,124,82,59,90,62,29,2961,13.9,50,256,20,3,179,195
"109",4626,490868,"Jan Bednarek",220570,"1996-04-12 00:00:00",187.96,170,35,"Southampton","Defender","Poland",24,66,22,29,2,0,1,1,0,113,3,154,390,186,2,2655,40.23,2,2,12,0,58,0
"110",4664,205893,"Jannik Vestergaard",202849,"1992-08-03 00:00:00",198.12,216,4,"Southampton","Defender","Denmark",28,43,14,20,1,1,0,0,1,74,5,62,273,155,0,1709,39.74,3,2,5,0,27,1
"111",4678,545060,"Jaroslaw Jach",223306,"1994-02-17 00:00:00",187.96,172,33,"Crystal-Palace","Defender","Poland",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",4735,299984,"Javier Manquillo",210972,"1994-05-05 00:00:00",180.34,159,19,"Newcastle-United","Defender","Spain",26,92,25,45,1,0,1,0,0,171,2,100,221,95,5,2235,24.29,4,168,15,0,72,11
"113",4750,109491,"Jay Rodriguez",169792,"1989-07-29 00:00:00",185.42,154,19,"Burnley","Forward","England",31,178,53,71,41,8,25,7,10,154,87,82,113,78,12,2835,15.93,14,134,11,0,156,99
"114",4765,470539,"Jean Michael Seri",216451,"1991-07-19 00:00:00",167.64,143,24,"Fulham","Midfielder","Cote D'Ivoire",29,32,6,21,1,0,1,0,1,41,7,32,14,6,2,1592,49.75,7,108,6,0,32,1
"115",4789,445226,"Jean-Philippe Gbamin",214947,"1995-09-25 00:00:00",185.42,183,25,"Everton","Midfielder","Cote D'Ivoire",24,2,1,0,0,0,0,0,0,4,0,1,4,3,0,70,35,0,0,0,0,2,0
"117",4816,214570,"Jeffrey Schlupp",200759,"1992-12-23 00:00:00",177.8,159,15,"Crystal-Palace","Midfielder","Ghana",27,148,56,61,11,1,3,7,0,278,43,177,217,117,8,3156,21.32,10,199,15,0,109,3
"118",4910,299215,"Jesse Lingard",207494,"1992-12-15 00:00:00",175.26,143,14,"Manchester-United","Midfielder","England",27,133,68,31,18,2,15,1,6,130,53,52,34,4,10,3536,26.59,18,121,15,0,140,20
"120",5049,171698,"Joel Matip",197061,"1991-08-08 00:00:00",195.58,198,32,"Liverpool","Defender","Cameroon",29,86,58,7,4,3,1,0,4,134,10,125,362,205,0,5249,61.03,2,6,9,0,52,1
"121",5056,146830,"Joel Ward",186392,"1989-10-29 00:00:00",187.96,183,2,"Crystal-Palace","Defender","England",30,201,66,95,4,2,1,1,2,483,25,368,796,450,5,6449,32.08,9,407,28,0,202,4
"122",5099,97194,"John Fleck",189177,"1991-08-24 00:00:00",170.18,159,4,"Sheffield-United","Midfielder","Scotland",29,32,10,13,5,0,1,4,1,39,12,26,22,8,2,1047,32.72,5,158,8,0,27,1
"123",5105,356406,"John McGinn",210881,"1994-10-18 00:00:00",175.26,150,7,"Aston-Villa","Midfielder","Scotland",25,29,7,15,3,0,0,3,2,53,12,26,15,6,3,759,26.17,3,67,4,0,38,0
"125",5117,263653,"John Stones",203574,"1994-05-28 00:00:00",187.96,165,5,"Manchester-City","Defender","England",26,163,90,39,1,1,0,0,1,180,7,191,601,338,0,8950,54.91,5,18,7,0,45,3
"126",5217,127130,"Jonjo Shelvey",189165,"1992-02-27 00:00:00",182.88,183,8,"Newcastle-United","Midfielder","England",28,215,77,86,20,1,16,3,12,261,105,198,175,61,23,8878,41.29,30,610,33,4,178,12
"127",5218,43248,"Jonny Evans",169588,"1988-01-02 00:00:00",187.96,170,6,"Leicester-City","Defender","Northern Ireland",32,297,145,86,11,7,4,0,2,457,22,585,1843,777,9,13240,44.58,5,59,44,3,239,3
"128",5230,154280,"Jordan Ayew",197756,"1991-09-11 00:00:00",182.88,179,9,"Crystal-Palace","Forward","Ghana",29,139,37,71,25,4,17,4,8,226,73,76,55,34,9,2968,21.35,12,147,18,2,222,44
"129",5234,156008,"Jordan Henderson",183711,"1990-06-17 00:00:00",182.88,148,14,"Liverpool","Midfielder","England",30,342,185,79,30,1,22,7,9,673,98,437,336,130,46,17932,52.43,49,792,34,2,299,29
"131",5290,25927,"Jorginho",14501,"1977-05-06 00:00:00",177.8,159,5,"Chelsea","Midfielder","Italy",28,70,37,18,7,0,7,0,0,147,9,130,64,29,3,5482,78.31,12,12,18,0,63,0
"132",5291,282775,"Jorginho",205498,"1991-12-20 00:00:00",180.34,143,5,"Chelsea","Midfielder","Italy",28,70,37,18,7,0,7,0,0,147,9,130,64,29,3,5482,78.31,12,12,18,0,63,0
"133",5292,41987,"Jorginho",168363,"1978-05-29 00:00:00",187.96,170,5,"Chelsea","Midfielder","Italy",28,70,37,18,7,0,7,0,0,147,9,130,64,29,3,5482,78.31,12,12,18,0,63,0
"134",5383,568571,"Joseph Gomez",225100,"1997-05-23 00:00:00",185.42,170,12,"Liverpool","Defender","England",23,73,52,6,0,0,0,0,0,111,4,100,166,78,3,4387,60.1,2,68,15,0,58,1
"135",5417,244563,"Jota",202541,"1991-06-16 00:00:00",180.34,154,23,"Aston-Villa","Midfielder","Spain",29,10,2,7,0,0,0,0,0,3,4,3,5,1,1,93,9.3,1,2,0,0,6,0
"136",5447,41468,"Juan Mata",178088,"1988-04-28 00:00:00",170.18,139,8,"Manchester-United","Midfielder","Spain",32,262,136,61,51,2,7,42,11,196,99,132,63,5,52,11379,43.43,68,1099,19,1,134,102
"137",5607,69541,"Kamil Grosicki",177922,"1988-06-08 00:00:00",180.34,172,13,"West-Bromwich-Albion","Midfielder","Poland",32,15,4,7,0,0,0,0,1,4,4,8,6,3,4,251,16.73,5,84,1,0,12,6
"140",5688,643709,"Kelechi Iheanacho",225719,"1996-10-03 00:00:00",187.96,170,14,"Leicester-City","Forward","Nigeria",23,117,42,45,21,4,3,13,2,38,39,11,21,13,13,1327,11.34,15,27,6,0,80,30
"141",5720,469804,"Kenny Tete",216266,"1995-10-09 00:00:00",180.34,170,2,"Fulham","Defender","Netherlands",24,1,0,1,0,0,0,0,0,3,0,4,3,2,1,27,27,1,6,1,0,3,0
